sample	failed_cut	valid_trans_pairs	total_reads	valid_cis_reads	insert_size	valid_cis_pairs	same_fragment	out_of_bounds	valid_trans_reads	GEO_ID
Encode_hg38_A549_HindIII_Rep1	6559691	22842160	72612071	22858964	19816503	22632987	531128	270	22845515	ENCBS009OIC
Encode_hg38_A549_HindIII_Rep2	6553431	27326406	76607276	20620077	21615741	20443067	484748	276	27333003	ENCBS876BXS
Encode_hg38_Caki2_HindIII_Rep1	29033309	14085382	124611983	15055104	63585924	14826310	2844671	536	14092439	ENCBS461KDA
Encode_hg38_Caki2_HindIII_Rep2	12529949	26153723	93196968	23626839	29991725	23339288	878961	218	26169276	ENCBS768KGZ
Encode_hg38_G401_HindIII_Rep1	10732964	11003006	84180566	35343065	26205757	34678985	875727	400	11022653	ENCBS062JBT
Encode_hg38_G401_HindIII_Rep2	24961144	7408780	113149805	20646983	58384950	20310936	1728126	597	7428005	ENCBS659PBH
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	7068557	23196144	98746284	7283328	60492800	7231079	699496	832	23201271	ENCBS235TSM
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	6277727	27188338	77023278	7728768	35269686	7690063	551162	387	27195548	ENCBS418ENC
Encode_hg38_NCI-H460_HindIII_Rep1	8778177	28651700	92808397	28822618	25700402	28519317	847299	327	28659574	ENCBS514AAA
Encode_hg38_NCI-H460_HindIII_Rep2	8851522	24242967	79834246	18929104	27177532	18754556	592543	312	24283233	ENCBS686KKP
Encode_hg38_Panc1_HindIII_Rep1	23592859	16859338	120072122	18626287	58867110	18388168	2119754	762	16865350	ENCBS556WYR
Encode_hg38_Panc1_HindIII_Rep2	23275062	9601404	99293901	11489787	52631353	11323147	2282382	636	9614681	ENCBS761TKL
Encode_hg38_RPMI-7951_HindIII_Rep1	7560556	32375363	86921033	21604431	24748314	21439938	610146	316	32397270	ENCBS262AAA
Encode_hg38_RPMI-7951_HindIII_Rep2	8789560	40735350	115106366	34148233	30732770	33778229	689245	486	40746072	ENCBS493TPA
Encode_hg38_SJCRH30_HindIII_Rep1	399746	1623349	5935796	1193885	2638747	1183110	67606	34	1635778	ENCBS504BIZ
Encode_hg38_SJCRH30_HindIII_Rep2	351201	1238459	4563098	566739	2321581	562453	76756	52	1246769	ENCBS516AAA
Encode_hg38_SK-MEL-5_HindIII_Rep1	2860413	3161755	22536343	6479488	9753484	6362106	240286	124	3202548	ENCBS519AAA
Encode_hg38_SK-MEL-5_HindIII_Rep2	9156287	14111243	87123588	28037119	35118308	27507617	685888	490	14125496	ENCBS981ZNI
Encode_hg38_SK-N-MC_HindIII_Rep1	6091634	38525885	81487185	7164206	29268260	7134012	430500	179	38532406	ENCBS366AET
Encode_hg38_SK-N-MC_HindIII_Rep2	9119138	44277421	107114521	15152249	37685017	15042480	870651	286	44287180	ENCBS400ENC
Encode_hg38_T47D_HindIII_Rep1	6046328	20322865	71523888	23196887	21523807	22981272	431158	377	20325331	ENCBS323FFY
Encode_hg38_T47D_HindIII_Rep2	7032989	25285409	79824528	24965075	21929437	24733991	609170	435	25287422	ENCBS943ULT
GSE34587_mm10_Cortex_HindIII_Rep1	14147018	49267618	212614457	27556396	105882359	22367333	2900093	3357351	58771240	GSM938750
GSE34587_mm10_Cortex_HindIII_Rep2	8580341	48354330	163357944	31257972	63079946	25864712	2165699	1208017	57065969	GSM938751
GSE35156_hg38_H1-ES_HindIII_Rep1	8226237	5934193	99225927	15728019	62995123	8276754	1262238	655	11013655	GSM862723
GSE35156_hg38_H1-ES_HindIII_Rep2	15851285	22228228	253250501	95596874	112747912	73644264	2544935	1022	26508473	GSM892306
GSE35156_hg38_IMR90_HindIII_Rep1	13822591	28302912	197933659	61886805	84610225	48433732	2589483	900	35023655	GSM862724
GSE35156_hg38_IMR90_HindIII_Rep2	3531782	35817710	128792931	40120871	44662066	36216530	1512986	696	38964530	GSM892307
GSE35156_mm10_Cortex_HindIII_Rep1	14147018	49267618	212614457	27556396	105882359	22367333	2900093	3357351	58771240	GSM892304
GSE35156_mm10_Cortex_HindIII_Rep2	8580341	48354330	163357944	31257972	63079946	25864712	2165699	1208017	57065969	GSM892305
GSE35156_mm10_ES_HindIII_Rep1	20927249	18856337	265710217	94313379	126339528	79098305	2798212	284824	21047025	GSM862720
GSE35156_mm10_ES_HindIII_Rep2	11402036	19885356	164478412	42231845	87368411	38886439	2439453	272439	20764228	GSM862721
GSE38468_dm6_Kc167_HindIII_Rep1	2190451	1693066	27317496	7153329	14800469	4026778	1434825	10287	1728135	GSM942890
GSE38468_dm6_Kc167_HindIII_Rep2	2597335	2417753	31866712	12541844	10748540	6332328	3536955	9947	2432091	GSM942891
