Sample	Genome	Coverage	Resolution	Score
Encode_hg38_A549_HindIII_Rep1	hg38	1000000	40000	0.000266831289447
Encode_hg38_A549_HindIII_Rep1	hg38	1000000	200000	0.00307716733047
Encode_hg38_A549_HindIII_Rep1	hg38	1000000	1000000	0.0254196343831
Encode_hg38_A549_HindIII_Rep1	hg38	2000000	40000	0.000694773665927
Encode_hg38_A549_HindIII_Rep1	hg38	2000000	200000	0.00837760419306
Encode_hg38_A549_HindIII_Rep1	hg38	2000000	1000000	0.0463515231817
Encode_hg38_A549_HindIII_Rep1	hg38	5000000	40000	0.00284434691008
Encode_hg38_A549_HindIII_Rep1	hg38	5000000	200000	0.0256538770761
Encode_hg38_A549_HindIII_Rep1	hg38	5000000	1000000	0.0786221978046
Encode_hg38_A549_HindIII_Rep1	hg38	10000000	40000	0.00780957672654
Encode_hg38_A549_HindIII_Rep1	hg38	10000000	200000	0.0490949603143
Encode_hg38_A549_HindIII_Rep1	hg38	10000000	1000000	0.102319579638
Encode_hg38_A549_HindIII_Rep1	hg38	20000000	40000	0.018858550891
Encode_hg38_A549_HindIII_Rep1	hg38	20000000	200000	0.0788854122237
Encode_hg38_A549_HindIII_Rep1	hg38	20000000	1000000	0.119572996777
Encode_hg38_A549_HindIII_Rep2	hg38	1000000	40000	0.000240828256125
Encode_hg38_A549_HindIII_Rep2	hg38	1000000	200000	0.00310916874745
Encode_hg38_A549_HindIII_Rep2	hg38	1000000	1000000	0.0266902247545
Encode_hg38_A549_HindIII_Rep2	hg38	2000000	40000	0.000642042075512
Encode_hg38_A549_HindIII_Rep2	hg38	2000000	200000	0.00841782340746
Encode_hg38_A549_HindIII_Rep2	hg38	2000000	1000000	0.0470202280758
Encode_hg38_A549_HindIII_Rep2	hg38	5000000	40000	0.00260210927471
Encode_hg38_A549_HindIII_Rep2	hg38	5000000	200000	0.0253518056538
Encode_hg38_A549_HindIII_Rep2	hg38	5000000	1000000	0.0783567511768
Encode_hg38_A549_HindIII_Rep2	hg38	10000000	40000	0.00733305923537
Encode_hg38_A549_HindIII_Rep2	hg38	10000000	200000	0.0483150289052
Encode_hg38_A549_HindIII_Rep2	hg38	10000000	1000000	0.0985470577027
Encode_hg38_A549_HindIII_Rep2	hg38	20000000	40000	0.0177698500396
Encode_hg38_A549_HindIII_Rep2	hg38	20000000	200000	0.0769969387381
Encode_hg38_A549_HindIII_Rep2	hg38	20000000	1000000	0.113429221281
Encode_hg38_Caki2_HindIII_Rep1	hg38	1000000	40000	0.000334453151512
Encode_hg38_Caki2_HindIII_Rep1	hg38	1000000	200000	0.0031882184317
Encode_hg38_Caki2_HindIII_Rep1	hg38	1000000	1000000	0.0322884440571
Encode_hg38_Caki2_HindIII_Rep1	hg38	2000000	40000	0.000891239577213
Encode_hg38_Caki2_HindIII_Rep1	hg38	2000000	200000	0.00853411484269
Encode_hg38_Caki2_HindIII_Rep1	hg38	2000000	1000000	0.0562509205157
Encode_hg38_Caki2_HindIII_Rep1	hg38	5000000	40000	0.00370117820003
Encode_hg38_Caki2_HindIII_Rep1	hg38	5000000	200000	0.0252481185567
Encode_hg38_Caki2_HindIII_Rep1	hg38	5000000	1000000	0.0924666208031
Encode_hg38_Caki2_HindIII_Rep1	hg38	10000000	40000	0.00990962039245
Encode_hg38_Caki2_HindIII_Rep1	hg38	10000000	200000	0.0472873324376
Encode_hg38_Caki2_HindIII_Rep1	hg38	10000000	1000000	0.115766577391
Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	40000	0.000342787111221
Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	200000	0.00322581553748
Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	1000000	0.0318677020423
Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	40000	0.000926674026541
Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	200000	0.00848726793159
Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	1000000	0.055488032265
Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	40000	0.0037637592182
Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	200000	0.0249889695225
Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	1000000	0.0906703485069
Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	40000	0.0100363384998
Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	200000	0.04715260366
Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	1000000	0.112178360612
Encode_hg38_Caki2_HindIII_Rep2	hg38	20000000	40000	0.0233343956789
Encode_hg38_Caki2_HindIII_Rep2	hg38	20000000	200000	0.0753085373808
Encode_hg38_Caki2_HindIII_Rep2	hg38	20000000	1000000	0.127547962902
Encode_hg38_G401_HindIII_Rep1	hg38	1000000	40000	0.00025221064624
Encode_hg38_G401_HindIII_Rep1	hg38	1000000	200000	0.00276749272538
Encode_hg38_G401_HindIII_Rep1	hg38	1000000	1000000	0.0288212332227
Encode_hg38_G401_HindIII_Rep1	hg38	2000000	40000	0.000621139271964
Encode_hg38_G401_HindIII_Rep1	hg38	2000000	200000	0.00763491401724
Encode_hg38_G401_HindIII_Rep1	hg38	2000000	1000000	0.0524909518056
Encode_hg38_G401_HindIII_Rep1	hg38	5000000	40000	0.00258074541338
Encode_hg38_G401_HindIII_Rep1	hg38	5000000	200000	0.0232577412646
Encode_hg38_G401_HindIII_Rep1	hg38	5000000	1000000	0.0894646196996
Encode_hg38_G401_HindIII_Rep1	hg38	10000000	40000	0.00714936752574
Encode_hg38_G401_HindIII_Rep1	hg38	10000000	200000	0.0444567374921
Encode_hg38_G401_HindIII_Rep1	hg38	10000000	1000000	0.114791853996
Encode_hg38_G401_HindIII_Rep1	hg38	20000000	40000	0.0172384118895
Encode_hg38_G401_HindIII_Rep1	hg38	20000000	200000	0.0720557153212
Encode_hg38_G401_HindIII_Rep1	hg38	20000000	1000000	0.133366013859
Encode_hg38_G401_HindIII_Rep2	hg38	1000000	40000	0.000241364352226
Encode_hg38_G401_HindIII_Rep2	hg38	1000000	200000	0.00285486909836
Encode_hg38_G401_HindIII_Rep2	hg38	1000000	1000000	0.0282340040973
Encode_hg38_G401_HindIII_Rep2	hg38	2000000	40000	0.000628593895459
Encode_hg38_G401_HindIII_Rep2	hg38	2000000	200000	0.00765156330929
Encode_hg38_G401_HindIII_Rep2	hg38	2000000	1000000	0.0508309554832
Encode_hg38_G401_HindIII_Rep2	hg38	5000000	40000	0.00251884965183
Encode_hg38_G401_HindIII_Rep2	hg38	5000000	200000	0.0229705428677
Encode_hg38_G401_HindIII_Rep2	hg38	5000000	1000000	0.0861969837528
Encode_hg38_G401_HindIII_Rep2	hg38	10000000	40000	0.00691328947017
Encode_hg38_G401_HindIII_Rep2	hg38	10000000	200000	0.0436036654936
Encode_hg38_G401_HindIII_Rep2	hg38	10000000	1000000	0.110615027441
Encode_hg38_G401_HindIII_Rep2	hg38	20000000	40000	0.0166632310395
Encode_hg38_G401_HindIII_Rep2	hg38	20000000	200000	0.070130942021
Encode_hg38_G401_HindIII_Rep2	hg38	20000000	1000000	0.129644147271
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1000000	40000	0.000191046846476
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1000000	200000	0.00172507461995
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	1000000	1000000	0.0198652730705
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	2000000	40000	0.000474371982706
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	2000000	200000	0.00496606778188
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	2000000	1000000	0.0352199857381
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	5000000	40000	0.00190490146525
