Sample1	Sample2	Genome	Coverage	Resolution	Score
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	0	40000	0.543127266412
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	0	200000	0.933001164347
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	0	1000000	0.98382339417
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	1000000	40000	0.0106198014746
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	1000000	200000	0.0993189969461
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	1000000	1000000	0.609458797646
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	2000000	40000	0.0222201861107
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	2000000	200000	0.280375061459
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	2000000	1000000	0.803984588826
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	5000000	40000	0.0900340039951
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	5000000	200000	0.646373145623
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	5000000	1000000	0.929095111197
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	10000000	40000	0.247806322064
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	10000000	200000	0.836540777556
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	10000000	1000000	0.965648155208
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	20000000	40000	0.511792225283
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	20000000	200000	0.926793034983
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	20000000	1000000	0.982569886408
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	40000	0.568951659205
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	200000	0.902411562518
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	1000000	0.982449634977
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	40000	0.0147583100988
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	200000	0.0966918083801
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	1000000	0.640160849282
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	40000	0.036306058736
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	200000	0.267878870785
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	1000000	0.821806486634
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	40000	0.139686007748
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	200000	0.619465014569
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	1000000	0.936376542159
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	40000	0.335904895669
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	200000	0.815632196783
Encode_hg38_Caki2_HindIII_Rep1	Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	1000000	0.969196549611
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	0	40000	0.587824239605
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	0	200000	0.922429359003
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	0	1000000	0.983167506353
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	1000000	40000	0.00950009346589
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	1000000	200000	0.0904665654989
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	1000000	1000000	0.598330609642
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	2000000	40000	0.0207853989902
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	2000000	200000	0.256122594858
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	2000000	1000000	0.794048120709
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	5000000	40000	0.0848695369588
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	5000000	200000	0.606410522248
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	5000000	1000000	0.92309022588
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	10000000	40000	0.234957599359
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	10000000	200000	0.803410562532
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	10000000	1000000	0.961540305382
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	20000000	40000	0.491359765417
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	20000000	200000	0.90714076631
Encode_hg38_G401_HindIII_Rep1	Encode_hg38_G401_HindIII_Rep2	hg38	20000000	1000000	0.980741435513
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	40000	0.0976152678139
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	200000	0.613208684053
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	1000000	0.94334277228
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1000000	40000	0.00670599306979
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1000000	200000	0.0394763633616
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	1000000	1000000	0.55433414181
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	2000000	40000	0.0117643016565
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	2000000	200000	0.134508444196
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	2000000	1000000	0.773293770542
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5000000	40000	0.0493727626286
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5000000	200000	0.444991745912
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	5000000	1000000	0.914548919572
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	40000	0.596358878195
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	200000	0.933710213281
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	1000000	0.985131882297
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1000000	40000	0.015702398593
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1000000	200000	0.112890359298
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1000000	1000000	0.638356227638
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	2000000	40000	0.0350674326491
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	2000000	200000	0.299758881624
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	2000000	1000000	0.82289596189
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5000000	40000	0.121109887624
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5000000	200000	0.652692408407
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5000000	1000000	0.933164813391
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10000000	40000	0.291669353755
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10000000	200000	0.836715741044
Encode_hg38_NCI-H460_HindIII_Rep1	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10000000	1000000	0.968164329507
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	40000	0.470332496232
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	200000	0.874001632769
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	1000000	0.974093537259
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	1000000	40000	0.015236679087
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	1000000	200000	0.0897772006393
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	1000000	1000000	0.576889941192
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	2000000	40000	0.0364492554159
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	2000000	200000	0.257178678268
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	2000000	1000000	0.793759542701
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	5000000	40000	0.137513114871
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	5000000	200000	0.617674103966
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	5000000	1000000	0.926996387319
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	10000000	40000	0.333310408911
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	10000000	200000	0.816601557886
Encode_hg38_Panc1_HindIII_Rep1	Encode_hg38_Panc1_HindIII_Rep2	hg38	10000000	1000000	0.965450110476
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	40000	0.64050686246
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	200000	0.956905252653
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	1000000	0.989163309531
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	1000000	40000	0.00927422741684
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	1000000	200000	0.145226890677
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	1000000	1000000	0.671349944164
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	2000000	40000	0.0229032668622
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	2000000	200000	0.369352577687
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	2000000	1000000	0.846066265209
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	5000000	40000	0.0975379526851
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	5000000	200000	0.724278368561
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	5000000	1000000	0.944750404386
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	10000000	40000	0.2683847913
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	10000000	200000	0.876774035874
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	10000000	1000000	0.973971036271
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	20000000	40000	0.539767945618
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	20000000	200000	0.944532014182
Encode_hg38_RPMI-7951_HindIII_Rep1	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	20000000	1000000	0.986898015161
Encode_hg38_SJCRH30_HindIII_Rep1	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	40000	0.0125094385742
Encode_hg38_SJCRH30_HindIII_Rep1	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	200000	0.0349925455102
Encode_hg38_SJCRH30_HindIII_Rep1	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	1000000	0.34729543655
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	40000	0.29637514089
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	200000	0.75149987184
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	1000000	0.943670730397
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	1000000	40000	0.0127123592238
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	1000000	200000	0.0611943381842
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	1000000	1000000	0.499055384707
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	2000000	40000	0.0250993830037
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	2000000	200000	0.190282848965
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	2000000	1000000	0.747758495531
Encode_hg38_SK-MEL-5_HindIII_Rep1	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	5000000	40000	0.0974921344203
