Sample1	Sample2	Balance	Coverage	Resolution	Score
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	1.0	20000000	40000	0.0312624344698
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	1.0	20000000	200000	0.0931009408847
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	1.0	20000000	1000000	0.14057467216
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.0	20000000	40000	0.0205065446061
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.0	20000000	200000	0.0886170553263
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.0	20000000	1000000	0.142874337835
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.2	20000000	40000	0.0193243645244
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.2	20000000	200000	0.0773568155779
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.2	20000000	1000000	0.129653701167
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.4	20000000	40000	0.0201368176525
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.4	20000000	200000	0.0724196334544
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.4	20000000	1000000	0.121610886867
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.6	20000000	40000	0.0223392522463
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.6	20000000	200000	0.0737801081904
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.6	20000000	1000000	0.119606744535
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.8	20000000	40000	0.0261995058614
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.8	20000000	200000	0.0812840211585
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE63525_hg38_K562_MboI_Rep2	0.8	20000000	1000000	0.126457101022
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	1.0	20000000	40000	0.01838805465
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	1.0	20000000	200000	0.0750254086991
