Sample	Genome	Noise	Resolution	Score
Encode_hg38_A549_HindIII_Rep1	hg38	0	40000	0.0218192716904
Encode_hg38_A549_HindIII_Rep1	hg38	0	200000	0.0848973609365
Encode_hg38_A549_HindIII_Rep1	hg38	0	1000000	0.123758771839
Encode_hg38_A549_HindIII_Rep1	hg38	1	40000	0.0217959572771
Encode_hg38_A549_HindIII_Rep1	hg38	1	200000	0.0848522875049
Encode_hg38_A549_HindIII_Rep1	hg38	1	1000000	0.123755068812
Encode_hg38_A549_HindIII_Rep1	hg38	5	40000	0.0216998322878
Encode_hg38_A549_HindIII_Rep1	hg38	5	200000	0.084669739408
Encode_hg38_A549_HindIII_Rep1	hg38	5	1000000	0.123680021684
Encode_hg38_A549_HindIII_Rep1	hg38	10	40000	0.0215862976154
Encode_hg38_A549_HindIII_Rep1	hg38	10	200000	0.0844555414166
Encode_hg38_A549_HindIII_Rep1	hg38	10	1000000	0.123610075324
Encode_hg38_A549_HindIII_Rep1	hg38	20	40000	0.0213331425399
Encode_hg38_A549_HindIII_Rep1	hg38	20	200000	0.0840222942386
Encode_hg38_A549_HindIII_Rep1	hg38	20	1000000	0.123433198197
Encode_hg38_A549_HindIII_Rep1	hg38	50	40000	0.0206008404889
Encode_hg38_A549_HindIII_Rep1	hg38	50	200000	0.0826295993779
Encode_hg38_A549_HindIII_Rep1	hg38	50	1000000	0.122828654068
Encode_hg38_A549_HindIII_Rep1	hg38	100	40000	0.0193906466136
Encode_hg38_A549_HindIII_Rep1	hg38	100	200000	0.0802257118492
Encode_hg38_A549_HindIII_Rep1	hg38	100	1000000	0.121740144622
Encode_hg38_A549_HindIII_Rep1	hg38	200	40000	0.0168996457883
Encode_hg38_A549_HindIII_Rep1	hg38	200	200000	0.0750081586598
Encode_hg38_A549_HindIII_Rep1	hg38	200	1000000	0.119285702612
Encode_hg38_A549_HindIII_Rep1	hg38	350	40000	0.0130612714964
Encode_hg38_A549_HindIII_Rep1	hg38	350	200000	0.0657702569245
Encode_hg38_A549_HindIII_Rep1	hg38	350	1000000	0.114378549682
Encode_hg38_A549_HindIII_Rep1	hg38	500	40000	0.00926401573408
Encode_hg38_A549_HindIII_Rep1	hg38	500	200000	0.0545797954082
Encode_hg38_A549_HindIII_Rep1	hg38	500	1000000	0.107137070128
Encode_hg38_A549_HindIII_Rep1	hg38	750	40000	0.00343666843513
Encode_hg38_A549_HindIII_Rep1	hg38	750	200000	0.0296017477155
Encode_hg38_A549_HindIII_Rep1	hg38	750	1000000	0.0845022679684
Encode_hg38_A549_HindIII_Rep2	hg38	0	40000	0.0182961874677
Encode_hg38_A549_HindIII_Rep2	hg38	0	200000	0.0784523456553
Encode_hg38_A549_HindIII_Rep2	hg38	0	1000000	0.115691392015
Encode_hg38_A549_HindIII_Rep2	hg38	1	40000	0.0182753184465
Encode_hg38_A549_HindIII_Rep2	hg38	1	200000	0.0784032187663
Encode_hg38_A549_HindIII_Rep2	hg38	1	1000000	0.115680975542
Encode_hg38_A549_HindIII_Rep2	hg38	5	40000	0.0181934716596
Encode_hg38_A549_HindIII_Rep2	hg38	5	200000	0.0782355715685
Encode_hg38_A549_HindIII_Rep2	hg38	5	1000000	0.115613170591
Encode_hg38_A549_HindIII_Rep2	hg38	10	40000	0.0180852685807
Encode_hg38_A549_HindIII_Rep2	hg38	10	200000	0.0779832424539
Encode_hg38_A549_HindIII_Rep2	hg38	10	1000000	0.115509998304
Encode_hg38_A549_HindIII_Rep2	hg38	20	40000	0.0178838949901
Encode_hg38_A549_HindIII_Rep2	hg38	20	200000	0.0775261814966
Encode_hg38_A549_HindIII_Rep2	hg38	20	1000000	0.115283770466
Encode_hg38_A549_HindIII_Rep2	hg38	50	40000	0.017231445901
Encode_hg38_A549_HindIII_Rep2	hg38	50	200000	0.0761902224361
Encode_hg38_A549_HindIII_Rep2	hg38	50	1000000	0.114765589966
Encode_hg38_A549_HindIII_Rep2	hg38	100	40000	0.0161631000156
Encode_hg38_A549_HindIII_Rep2	hg38	100	200000	0.0738762740836
Encode_hg38_A549_HindIII_Rep2	hg38	100	1000000	0.113807511854
Encode_hg38_A549_HindIII_Rep2	hg38	200	40000	0.0139989206487
Encode_hg38_A549_HindIII_Rep2	hg38	200	200000	0.0688611307645
