Sample1	Sample2	Genome	Noise	Resolution	Score
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	0	40000	0.544389461844
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	0	200000	0.933349876737
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	0	1000000	0.983875764525
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	1	40000	0.544193649537
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	1	200000	0.933294568343
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	1	1000000	0.983860650757
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	5	40000	0.543385160102
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	5	200000	0.933126001542
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	5	1000000	0.983818103793
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	10	40000	0.542362976667
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	10	200000	0.932876035501
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	10	1000000	0.983768430238
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	20	40000	0.54024949628
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	20	200000	0.932414118011
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	20	1000000	0.983685897397
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	50	40000	0.53345780229
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	50	200000	0.931027651198
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	50	1000000	0.983421396947
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	100	40000	0.521466409822
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	100	200000	0.928481908587
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	100	1000000	0.982909456742
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	200	40000	0.494387372557
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	200	200000	0.922079917735
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	200	1000000	0.981555261781
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	350	40000	0.443441173039
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	350	200000	0.907440397727
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	350	1000000	0.978127600607
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	500	40000	0.377969688019
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	500	200000	0.88273719001
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	500	1000000	0.972240219982
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	750	40000	0.225389136607
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	750	200000	0.770516916831
Encode_hg38_A549_HindIII_Rep1	Encode_hg38_A549_HindIII_Rep2	hg38	750	1000000	0.941116978236
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	40000	0.544389461844
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	200000	0.933349876737
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	1000000	0.983875764525
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	1	40000	0.544252248893
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	1	200000	0.933321131501
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	1	1000000	0.983871352265
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	5	40000	0.543529941303
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	5	200000	0.933160033964
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	5	1000000	0.98384242764
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	10	40000	0.542665604743
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	10	200000	0.933008486232
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	10	1000000	0.98381512204
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	20	40000	0.540669694993
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	20	200000	0.932710017432
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	20	1000000	0.98373548184
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	50	40000	0.534949866244
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	50	200000	0.931580777945
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	50	1000000	0.983458573546
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	100	40000	0.524932106014
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	100	200000	0.929500115048
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	100	1000000	0.982966993612
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	200	40000	0.50068916828
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	200	200000	0.924406637012
