Sample	Genome	Coverage	Resolution	Score
Encode_hg38_A549_HindIII_Rep1	hg38	0	40000	0.0217640180411
Encode_hg38_A549_HindIII_Rep1	hg38	0	200000	0.0847270546232
Encode_hg38_A549_HindIII_Rep1	hg38	0	1000000	0.123781117012
Encode_hg38_A549_HindIII_Rep1	hg38	1000000	40000	0.000249594938649
Encode_hg38_A549_HindIII_Rep1	hg38	1000000	200000	0.00313601860091
Encode_hg38_A549_HindIII_Rep1	hg38	1000000	1000000	0.0253016940026
Encode_hg38_A549_HindIII_Rep1	hg38	2000000	40000	0.00068427640707
Encode_hg38_A549_HindIII_Rep1	hg38	2000000	200000	0.00847988288158
Encode_hg38_A549_HindIII_Rep1	hg38	2000000	1000000	0.0458318277967
Encode_hg38_A549_HindIII_Rep1	hg38	5000000	40000	0.00278351308406
Encode_hg38_A549_HindIII_Rep1	hg38	5000000	200000	0.0256522365895
Encode_hg38_A549_HindIII_Rep1	hg38	5000000	1000000	0.0795442386974
Encode_hg38_A549_HindIII_Rep1	hg38	10000000	40000	0.00770978812304
Encode_hg38_A549_HindIII_Rep1	hg38	10000000	200000	0.0489741780306
Encode_hg38_A549_HindIII_Rep1	hg38	10000000	1000000	0.103397951894
Encode_hg38_A549_HindIII_Rep1	hg38	20000000	40000	0.0187008418831
Encode_hg38_A549_HindIII_Rep1	hg38	20000000	200000	0.0788210543714
Encode_hg38_A549_HindIII_Rep1	hg38	20000000	1000000	0.121470622191
Encode_hg38_A549_HindIII_Rep2	hg38	0	40000	0.0182501061022
Encode_hg38_A549_HindIII_Rep2	hg38	0	200000	0.0783269826948
Encode_hg38_A549_HindIII_Rep2	hg38	0	1000000	0.115682372429
Encode_hg38_A549_HindIII_Rep2	hg38	1000000	40000	0.000235446785713
Encode_hg38_A549_HindIII_Rep2	hg38	1000000	200000	0.00301796463526
Encode_hg38_A549_HindIII_Rep2	hg38	1000000	1000000	0.0272351068465
Encode_hg38_A549_HindIII_Rep2	hg38	2000000	40000	0.000611637637882
Encode_hg38_A549_HindIII_Rep2	hg38	2000000	200000	0.00828617057267
Encode_hg38_A549_HindIII_Rep2	hg38	2000000	1000000	0.0477848045047
Encode_hg38_A549_HindIII_Rep2	hg38	5000000	40000	0.00257719006296
Encode_hg38_A549_HindIII_Rep2	hg38	5000000	200000	0.0251845695985
Encode_hg38_A549_HindIII_Rep2	hg38	5000000	1000000	0.0794111491056
Encode_hg38_A549_HindIII_Rep2	hg38	10000000	40000	0.00721357418232
Encode_hg38_A549_HindIII_Rep2	hg38	10000000	200000	0.0480318240059
Encode_hg38_A549_HindIII_Rep2	hg38	10000000	1000000	0.100300249739
Encode_hg38_A549_HindIII_Rep2	hg38	20000000	40000	0.017619424608
Encode_hg38_A549_HindIII_Rep2	hg38	20000000	200000	0.076959874582
Encode_hg38_A549_HindIII_Rep2	hg38	20000000	1000000	0.115260916387
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	40000	0.0164901549111
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	200000	0.0635950300581
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	1000000	0.127376120813
Encode_hg38_Caki2_HindIII_Rep1	hg38	1000000	40000	0.000309170105068
Encode_hg38_Caki2_HindIII_Rep1	hg38	1000000	200000	0.00304363763529
Encode_hg38_Caki2_HindIII_Rep1	hg38	1000000	1000000	0.0321140316765
Encode_hg38_Caki2_HindIII_Rep1	hg38	2000000	40000	0.000895207025434
Encode_hg38_Caki2_HindIII_Rep1	hg38	2000000	200000	0.00828649569095
Encode_hg38_Caki2_HindIII_Rep1	hg38	2000000	1000000	0.0563747787243
Encode_hg38_Caki2_HindIII_Rep1	hg38	5000000	40000	0.00366126754346
Encode_hg38_Caki2_HindIII_Rep1	hg38	5000000	200000	0.0249090014137
Encode_hg38_Caki2_HindIII_Rep1	hg38	5000000	1000000	0.0935622044767
Encode_hg38_Caki2_HindIII_Rep1	hg38	10000000	40000	0.0097836155097
Encode_hg38_Caki2_HindIII_Rep1	hg38	10000000	200000	0.0472037972942
Encode_hg38_Caki2_HindIII_Rep1	hg38	10000000	1000000	0.116839043661
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	40000	0.0276867661809
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	200000	0.082196385378
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	1000000	0.131770730608
Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	40000	0.000328608522339
Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	200000	0.00318470326058
Encode_hg38_Caki2_HindIII_Rep2	hg38	1000000	1000000	0.0324137026836
Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	40000	0.000922540721522
Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	200000	0.00852097830059
Encode_hg38_Caki2_HindIII_Rep2	hg38	2000000	1000000	0.0560624103525
Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	40000	0.00372291098812
Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	200000	0.0251044065832
Encode_hg38_Caki2_HindIII_Rep2	hg38	5000000	1000000	0.0911364481943
Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	40000	0.00996285732347
Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	200000	0.0472867935835
Encode_hg38_Caki2_HindIII_Rep2	hg38	10000000	1000000	0.113353165985
Encode_hg38_Caki2_HindIII_Rep2	hg38	20000000	40000	0.0231925996707
Encode_hg38_Caki2_HindIII_Rep2	hg38	20000000	200000	0.0752960820317
Encode_hg38_Caki2_HindIII_Rep2	hg38	20000000	1000000	0.129118179497
Encode_hg38_G401_HindIII_Rep1	hg38	0	40000	0.0312737978738
Encode_hg38_G401_HindIII_Rep1	hg38	0	200000	0.0955509858205
Encode_hg38_G401_HindIII_Rep1	hg38	0	1000000	0.14561020433
Encode_hg38_G401_HindIII_Rep1	hg38	1000000	40000	0.000237341697523
Encode_hg38_G401_HindIII_Rep1	hg38	1000000	200000	0.00275951825259
