Sample	Genome	Coverage	Resolution	Score
Encode_hg38_A549_HindIII_Rep1	hg38	0	10000	0.00322675824177
Encode_hg38_A549_HindIII_Rep1	hg38	0	40000	0.0217640180411
Encode_hg38_A549_HindIII_Rep1	hg38	0	200000	0.0847270546232
Encode_hg38_A549_HindIII_Rep1	hg38	0	1000000	0.123781117012
Encode_hg38_A549_HindIII_Rep2	hg38	0	10000	0.00234387093987
Encode_hg38_A549_HindIII_Rep2	hg38	0	40000	0.0182501061022
Encode_hg38_A549_HindIII_Rep2	hg38	0	200000	0.0783269826948
Encode_hg38_A549_HindIII_Rep2	hg38	0	1000000	0.115682372429
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	10000	0.00228989109315
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	40000	0.0164901549111
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	200000	0.0635950300581
Encode_hg38_Caki2_HindIII_Rep1	hg38	0	1000000	0.127376120813
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	10000	0.00507574727676
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	40000	0.0276867661809
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	200000	0.082196385378
Encode_hg38_Caki2_HindIII_Rep2	hg38	0	1000000	0.131770730608
Encode_hg38_G401_HindIII_Rep1	hg38	0	10000	0.00653865822374
Encode_hg38_G401_HindIII_Rep1	hg38	0	40000	0.0312737978738
Encode_hg38_G401_HindIII_Rep1	hg38	0	200000	0.0955509858205
Encode_hg38_G401_HindIII_Rep1	hg38	0	1000000	0.14561020433
Encode_hg38_G401_HindIII_Rep2	hg38	0	10000	0.00282232901301
Encode_hg38_G401_HindIII_Rep2	hg38	0	40000	0.0171422170962
Encode_hg38_G401_HindIII_Rep2	hg38	0	200000	0.0711793358272
Encode_hg38_G401_HindIII_Rep2	hg38	0	1000000	0.131849514675
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	10000	0.000337787222838
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	40000	0.00332029339906
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	200000	0.0242185041638
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	1000000	0.0679319377771
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	10000	0.000278293268688
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	40000	0.00300373028565
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	200000	0.0231042967221
Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	1000000	0.0649849047187
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	10000	0.00337287400444
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	40000	0.0270718910494
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	200000	0.0899506135046
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	1000000	0.124661140499
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	10000	0.00165667228927
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	40000	0.0161666685287
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	200000	0.0694328589372
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	1000000	0.111741002278
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	10000	0.00296528361685
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	40000	0.0199089933929
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	200000	0.0691882652346
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	1000000	0.119151110071
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	10000	0.00163676446329
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	40000	0.0120277635149
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	200000	0.0526754167827
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	1000000	0.110103265981
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	10000	0.0022444657747
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	40000	0.0189804061678
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	200000	0.0863049315278
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	1000000	0.119416896492
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	10000	0.00520161239134
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	40000	0.0327577659296
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	200000	0.108119225048
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	1000000	0.132685652567
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	10000	3.64335564855e-05
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	40000	0.000360627030421
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	200000	0.00295624070683
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	1000000	0.0247278988015
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	10000	1.62701060183e-05
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	40000	0.000147624226093
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	200000	0.000856530220769
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	1000000	0.0104514529752
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	10000	0.000859030950324
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	40000	0.00505066825251
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	200000	0.0286312523782
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	1000000	0.0924678690834
