Sample1	Sample2	Genome	Coverage	Resolution	Score
Encode_hg38_A549_HindIII_Pseudo	Encode_hg38_A549_HindIII_Rep1	hg38	0	10000	0.386688985138
Encode_hg38_A549_HindIII_Pseudo	Encode_hg38_A549_HindIII_Rep1	hg38	0	40000	0.704755665421
Encode_hg38_A549_HindIII_Pseudo	Encode_hg38_A549_HindIII_Rep1	hg38	0	200000	0.960593416761
Encode_hg38_A549_HindIII_Pseudo	Encode_hg38_A549_HindIII_Rep1	hg38	0	1000000	0.991307330753
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	10000	0.0526245117333
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	40000	0.188048958427
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	200000	0.539010462434
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	1000000	0.74439520086
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	10000	0.175217850549
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	40000	0.510193464808
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	200000	0.659353061179
Encode_hg38_A549_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	1000000	0.696877388432
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	10000	0.222061041873
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	40000	0.531759972801
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	200000	0.73546969685
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	1000000	0.775386569784
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	10000	0.086662434489
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	40000	0.434864257974
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	200000	0.647173331971
Encode_hg38_A549_HindIII_Rep1	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	1000000	0.753120640717
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	10000	0.0727102176397
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	40000	0.348916642196
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	200000	0.599563293809
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	1000000	0.707860903454
Encode_hg38_A549_HindIII_Rep1	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	10000	0.186998585641
Encode_hg38_A549_HindIII_Rep1	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	40000	0.536431715932
Encode_hg38_A549_HindIII_Rep1	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	200000	0.662252416804
Encode_hg38_A549_HindIII_Rep1	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	1000000	0.665445536138
Encode_hg38_A549_HindIII_Rep1	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	10000	0.0649053142218
Encode_hg38_A549_HindIII_Rep1	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	40000	0.391638751455
Encode_hg38_A549_HindIII_Rep1	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	200000	0.695341128878
Encode_hg38_A549_HindIII_Rep1	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	1000000	0.736152426297
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Pseudo	hg38	0	10000	0.335170682711
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Pseudo	hg38	0	40000	0.671958915762
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Pseudo	hg38	0	200000	0.957203550225
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Pseudo	hg38	0	1000000	0.991392862138
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	10000	0.11844437776
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	40000	0.543127266412
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	200000	0.933001164347
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_A549_HindIII_Rep1	hg38	0	1000000	0.98382339417
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep1	hg38	0	10000	0.0827360555483
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep1	hg38	0	40000	0.42609474746
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep1	hg38	0	200000	0.729595274873
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep1	hg38	0	1000000	0.82131058992
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	10000	0.121946769896
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	40000	0.496903862978
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	200000	0.758048370861
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Caki2_HindIII_Rep2	hg38	0	1000000	0.825864950482
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep1	hg38	0	10000	0.130280794437
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep1	hg38	0	40000	0.487330376346
